2026-08-12 02:42:05 status half-installed sysvinit-utils:amd64 3.14-4
2026-08-12 02:42:05 status unpacked sysvinit-utils:amd64 3.14-4
2026-08-12 02:42:05 install tar:amd64 <none> 1.35+dfsg-3.1
2026-08-12 02:42:05 status half-installed tar:amd64 1.35+dfsg-3.1
2026-08-12 02:42:05 status unpacked tar:amd64 1.35+dfsg-3.1
2026-08-12 02:42:05 install tzdata:all <none> 2026b-0+deb13u1
2026-08-12 02:42:05 status half-installed tzdata:all 2026b-0+deb13u1
2026-08-12 02:42:05 status unpacked tzdata:all 2026b-0+deb13u1
2026-08-12 02:42:05 install usr-is-merged:all <none> 39+nmu2
2026-08-12 02:42:05 status half-installed usr-is-merged:all 39+nmu2
2026-08-12 02:42:05 status unpacked usr-is-merged:all 39+nmu2
2026-08-12 02:42:06 install util-linux:amd64 <none> 2.41-5
2026-08-12 02:42:06 status half-installed util-linux:amd64 2.41-5
2026-08-12 02:42:06 status unpacked util-linux:amd64 2.41-5
2026-08-12 02:42:06 install zlib1g:amd64 <none> 1:1.3.dfsg+really1.3.1-1+b1
2026-08-12 02:42:06 status half-installed zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
2026-08-12 02:42:06 status unpacked zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
2026-08-12 02:42:06 startup packages configure
2026-08-12 02:42:06 configure gcc-14-base:amd64 14.2.0-19 <none>
2026-08-12 02:42:06 status unpacked gcc-14-base:amd64 14.2.0-19
2026-08-12 02:42:06 status half-configured gcc-14-base:amd64 14.2.0-19
2026-08-12 02:42:06 status installed gcc-14-base:amd64 14.2.0-19
2026-08-12 02:42:06 configure login.defs:all 1:4.17.4-2 <none>
2026-08-12 02:42:06 status unpacked login.defs:all 1:4.17.4-2
2026-08-12 02:42:06 status half-configured login.defs:all 1:4.17.4-2
2026-08-12 02:42:06 status installed login.defs:all 1:4.17.4-2
2026-08-12 02:42:06 configure debian-archive-keyring:all 2025.1 <none>
2026-08-12 02:42:06 status unpacked debian-archive-keyring:all 2025.1
2026-08-12 02:42:06 status half-configured debian-archive-keyring:all 2025.1
2026-08-12 02:42:06 status installed debian-archive-keyring:all 2025.1
2026-08-12 02:42:06 configure usr-is-merged:all 39+nmu2 <none>
2026-08-12 02:42:06 status unpacked usr-is-merged:all 39+nmu2
2026-08-12 02:42:06 status half-configured usr-is-merged:all 39+nmu2
2026-08-12 02:42:06 status installed usr-is-merged:all 39+nmu2
2026-08-12 02:42:06 configure libaudit-common:all 1:4.0.2-2 <none>
2026-08-12 02:42:06 status unpacked libaudit-common:all 1:4.0.2-2
2026-08-12 02:42:06 status half-configured libaudit-common:all 1:4.0.2-2
2026-08-12 02:42:06 status installed libaudit-common:all 1:4.0.2-2
2026-08-12 02:42:06 configure libsemanage-common:all 3.8.1-1 <none>
2026-08-12 02:42:06 status unpacked libsemanage-common:all 3.8.1-1
2026-08-12 02:42:06 status half-configured libsemanage-common:all 3.8.1-1
2026-08-12 02:42:06 status installed libsemanage-common:all 3.8.1-1
2026-08-12 02:42:06 configure debconf:all 1.5.91 <none>
2026-08-12 02:42:06 status unpacked debconf:all 1.5.91
2026-08-12 02:42:06 status half-configured debconf:all 1.5.91
2026-08-12 02:42:06 status installed debconf:all 1.5.91
2026-08-12 02:42:07 configure tzdata:all 2026b-0+deb13u1 <none>
2026-08-12 02:42:07 status unpacked tzdata:all 2026b-0+deb13u1
2026-08-12 02:42:07 status half-configured tzdata:all 2026b-0+deb13u1
2026-08-12 02:42:07 status installed tzdata:all 2026b-0+deb13u1
2026-08-12 02:42:07 configure ncurses-base:all 6.5+20250216-2 <none>
2026-08-12 02:42:07 status unpacked ncurses-base:all 6.5+20250216-2
2026-08-12 02:42:07 status half-configured ncurses-base:all 6.5+20250216-2
2026-08-12 02:42:07 status installed ncurses-base:all 6.5+20250216-2
2026-08-12 02:42:07 configure init-system-helpers:all 1.69~deb13u1 <none>
2026-08-12 02:42:07 status unpacked init-system-helpers:all 1.69~deb13u1
2026-08-12 02:42:07 status half-configured init-system-helpers:all 1.69~deb13u1
2026-08-12 02:42:07 status installed init-system-helpers:all 1.69~deb13u1
2026-08-12 02:42:07 configure libgcc-s1:amd64 14.2.0-19 <none>
2026-08-12 02:42:07 status unpacked libgcc-s1:amd64 14.2.0-19
2026-08-12 02:42:07 status half-configured libgcc-s1:amd64 14.2.0-19
2026-08-12 02:42:07 status installed libgcc-s1:amd64 14.2.0-19
2026-08-12 02:42:07 configure libc6:amd64 2.41-12+deb13u3 <none>
2026-08-12 02:42:07 status unpacked libc6:amd64 2.41-12+deb13u3
2026-08-12 02:42:07 status half-configured libc6:amd64 2.41-12+deb13u3
2026-08-12 02:42:07 status installed libc6:amd64 2.41-12+deb13u3
2026-08-12 02:42:07 configure libdb5.3t64:amd64 5.3.28+dfsg2-9 <none>
2026-08-12 02:42:07 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-08-12 02:42:07 status half-configured libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-08-12 02:42:07 status installed libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-08-12 02:42:07 configure libmd0:amd64 1.1.0-2+b1 <none>
2026-08-12 02:42:07 status unpacked libmd0:amd64 1.1.0-2+b1
2026-08-12 02:42:07 status half-configured libmd0:amd64 1.1.0-2+b1
2026-08-12 02:42:07 status installed libmd0:amd64 1.1.0-2+b1
2026-08-12 02:42:07 configure libxxhash0:amd64 0.8.3-2 <none>
2026-08-12 02:42:07 status unpacked libxxhash0:amd64 0.8.3-2
